student_id,from_kid,to_kid,from_name,to_name
S0001,17,16,集合与逻辑,复数
S0001,16,6,复数,函数概念与性质
S0001,6,3,函数概念与性质,三角函数
S0001,3,11,三角函数,对数函数
S0001,11,12,对数函数,立体几何初步
S0001,12,9,立体几何初步,平面向量及其应用
S0001,9,13,平面向量及其应用,幂函数
S0001,13,15,幂函数,计数原理
S0001,15,7,计数原理,概率
S0001,7,4,概率,数列
S0001,4,5,数列,空间向量与立体几何
S0001,5,2,空间向量与立体几何,平面解析几何
S0001,2,1,平面解析几何,一元函数导数及其应用
S0001,1,14,一元函数导数及其应用,函数应用
S0001,14,10,函数应用,指数函数
S0001,10,8,指数函数,统计
S0002,17,16,集合与逻辑,复数
S0002,16,12,复数,立体几何初步
S0002,12,6,立体几何初步,函数概念与性质
S0002,6,3,函数概念与性质,三角函数
S0002,3,8,三角函数,统计
S0002,8,11,统计,对数函数
S0002,11,9,对数函数,平面向量及其应用
S0002,9,5,平面向量及其应用,空间向量与立体几何
S0002,5,1,空间向量与立体几何,一元函数导数及其应用
S0002,1,2,一元函数导数及其应用,平面解析几何
S0002,2,4,平面解析几何,数列
S0002,4,15,数列,计数原理
S0002,15,13,计数原理,幂函数
S0002,13,7,幂函数,概率
S0002,7,10,概率,指数函数
S0002,10,14,指数函数,函数应用
S0003,17,16,集合与逻辑,复数
S0003,16,12,复数,立体几何初步
S0003,12,8,立体几何初步,统计
S0003,8,6,统计,函数概念与性质
S0003,6,3,函数概念与性质,三角函数
S0003,3,10,三角函数,指数函数
S0003,10,13,指数函数,幂函数
S0003,13,14,幂函数,函数应用
S0003,14,9,函数应用,平面向量及其应用
S0003,9,1,平面向量及其应用,一元函数导数及其应用
S0003,1,2,一元函数导数及其应用,平面解析几何
S0003,2,4,平面解析几何,数列
S0003,4,5,数列,空间向量与立体几何
S0003,5,15,空间向量与立体几何,计数原理
S0003,15,7,计数原理,概率
S0003,7,11,概率,对数函数
S0004,17,16,集合与逻辑,复数
S0004,16,12,复数,立体几何初步
S0004,12,15,立体几何初步,计数原理
S0004,15,7,计数原理,概率
S0004,7,8,概率,统计
S0004,8,6,统计,函数概念与性质
S0004,6,3,函数概念与性质,三角函数
S0004,3,10,三角函数,指数函数
S0004,10,13,指数函数,幂函数
S0004,13,9,幂函数,平面向量及其应用
S0004,9,11,平面向量及其应用,对数函数
S0004,11,2,对数函数,平面解析几何
S0004,2,4,平面解析几何,数列
S0004,4,5,数列,空间向量与立体几何
S0004,5,1,空间向量与立体几何,一元函数导数及其应用
S0004,1,14,一元函数导数及其应用,函数应用
S0005,17,16,集合与逻辑,复数
S0005,16,6,复数,函数概念与性质
S0005,6,1,函数概念与性质,一元函数导数及其应用
S0005,1,4,一元函数导数及其应用,数列
S0005,4,3,数列,三角函数
S0005,3,12,三角函数,立体几何初步
S0005,12,15,立体几何初步,计数原理
S0005,15,9,计数原理,平面向量及其应用
S0005,9,13,平面向量及其应用,幂函数
S0005,13,2,幂函数,平面解析几何
S0005,2,5,平面解析几何,空间向量与立体几何
S0005,5,11,空间向量与立体几何,对数函数
S0005,11,8,对数函数,统计
S0005,8,7,统计,概率
S0005,7,10,概率,指数函数
S0005,10,14,指数函数,函数应用
S0006,17,16,集合与逻辑,复数
S0006,16,12,复数,立体几何初步
S0006,12,8,立体几何初步,统计
S0006,8,6,统计,函数概念与性质
S0006,6,13,函数概念与性质,幂函数
S0006,13,14,幂函数,函数应用
S0006,14,15,函数应用,计数原理
S0006,15,4,计数原理,数列
S0006,4,3,数列,三角函数
S0006,3,9,三角函数,平面向量及其应用
S0006,9,10,平面向量及其应用,指数函数
S0006,10,1,指数函数,一元函数导数及其应用
S0006,1,2,一元函数导数及其应用,平面解析几何
S0006,2,5,平面解析几何,空间向量与立体几何
S0006,5,7,空间向量与立体几何,概率
S0006,7,11,概率,对数函数
S0007,17,16,集合与逻辑,复数
S0007,16,12,复数,立体几何初步
S0007,12,8,立体几何初步,统计
S0007,8,6,统计,函数概念与性质
S0007,6,3,函数概念与性质,三角函数
S0007,3,1,三角函数,一元函数导数及其应用
S0007,1,14,一元函数导数及其应用,函数应用
S0007,14,13,函数应用,幂函数
S0007,13,10,幂函数,指数函数
S0007,10,15,指数函数,计数原理
S0007,15,7,计数原理,概率
S0007,7,11,概率,对数函数
S0007,11,9,对数函数,平面向量及其应用
S0007,9,2,平面向量及其应用,平面解析几何
S0007,2,4,平面解析几何,数列
S0007,4,5,数列,空间向量与立体几何
S0008,17,16,集合与逻辑,复数
S0008,16,12,复数,立体几何初步
S0008,12,6,立体几何初步,函数概念与性质
S0008,6,1,函数概念与性质,一元函数导数及其应用
S0008,1,4,一元函数导数及其应用,数列
S0008,4,3,数列,三角函数
S0008,3,10,三角函数,指数函数
S0008,10,9,指数函数,平面向量及其应用
S0008,9,13,平面向量及其应用,幂函数
S0008,13,15,幂函数,计数原理
S0008,15,7,计数原理,概率
S0008,7,11,概率,对数函数
S0008,11,8,对数函数,统计
S0008,8,5,统计,空间向量与立体几何
S0008,5,2,空间向量与立体几何,平面解析几何
S0008,2,14,平面解析几何,函数应用
S0009,17,16,集合与逻辑,复数
S0009,16,12,复数,立体几何初步
S0009,12,8,立体几何初步,统计
S0009,8,6,统计,函数概念与性质
S0009,6,3,函数概念与性质,三角函数
S0009,3,9,三角函数,平面向量及其应用
S0009,9,5,平面向量及其应用,空间向量与立体几何
S0009,5,2,空间向量与立体几何,平面解析几何
S0009,2,4,平面解析几何,数列
S0009,4,1,数列,一元函数导数及其应用
S0009,1,13,一元函数导数及其应用,幂函数
S0009,13,15,幂函数,计数原理
S0009,15,7,计数原理,概率
S0009,7,11,概率,对数函数
S0009,11,14,对数函数,函数应用
S0009,14,10,函数应用,指数函数
S0010,17,16,集合与逻辑,复数
S0010,16,12,复数,立体几何初步
S0010,12,8,立体几何初步,统计
S0010,8,6,统计,函数概念与性质
S0010,6,1,函数概念与性质,一元函数导数及其应用
S0010,1,3,一元函数导数及其应用,三角函数
S0010,3,15,三角函数,计数原理
S0010,15,13,计数原理,幂函数
S0010,13,10,幂函数,指数函数
S0010,10,14,指数函数,函数应用
S0010,14,9,函数应用,平面向量及其应用
S0010,9,11,平面向量及其应用,对数函数
S0010,11,5,对数函数,空间向量与立体几何
S0010,5,2,空间向量与立体几何,平面解析几何
S0010,2,4,平面解析几何,数列
S0010,4,7,数列,概率
S0011,17,16,集合与逻辑,复数
S0011,16,12,复数,立体几何初步
S0011,12,15,立体几何初步,计数原理
S0011,15,7,计数原理,概率
S0011,7,8,概率,统计
S0011,8,6,统计,函数概念与性质
S0011,6,3,函数概念与性质,三角函数
S0011,3,4,三角函数,数列
S0011,4,1,数列,一元函数导数及其应用
S0011,1,11,一元函数导数及其应用,对数函数
